+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /manager/text/list                           | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 264.000   | 264.000    | 264.000      | 264.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7635/report                  | 0.112  | 0.112  | 0.112   | 0.112  | 0.112  | 0.112  | 0.112  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7635/ngwords                 | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7571/ngwords                 | 0.040  | 0.040  | 0.040   | 0.040  | 0.040  | 0.040  | 0.040  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7645/ngwords                 | 0.236  | 0.236  | 0.236   | 0.236  | 0.236  | 0.236  | 0.236  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7641/moderate                | 3.720  | 3.720  | 3.720   | 3.720  | 3.720  | 3.720  | 3.720  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7560/enter                   | 0.144  | 0.144  | 0.144   | 0.144  | 0.144  | 0.144  | 0.144  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7538/exit                    | 0.040  | 0.040  | 0.040   | 0.040  | 0.040  | 0.040  | 0.040  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7616/ngwords                 | 0.064  | 0.064  | 0.064   | 0.064  | 0.064  | 0.064  | 0.064  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7604/report                  | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7540/exit                    | 0.180  | 0.180  | 0.180   | 0.180  | 0.180  | 0.180  | 0.180  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7593/ngwords                 | 0.044  | 0.044  | 0.044   | 0.044  | 0.044  | 0.044  | 0.044  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7641/report                  | 0.208  | 0.208  | 0.208   | 0.208  | 0.208  | 0.208  | 0.208  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7641/ngwords                 | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7604/ngwords                 | 0.028  | 0.028  | 0.028   | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7571/report                  | 0.048  | 0.048  | 0.048   | 0.048  | 0.048  | 0.048  | 0.048  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/xyamada0/icon                      | 0.220  | 0.220  | 0.220   | 0.220  | 0.220  | 0.220  | 0.220  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kyosuke210/icon                    | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hasegawamituru0/icon               | 0.140  | 0.140  | 0.140   | 0.140  | 0.140  | 0.140  | 0.140  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
